n,data_mib,chain_ms,two_way_ms,four_way_ms,pairwise_ms,speedup_two_way,speedup_four_way,speedup_pairwise,abs_diff_two_way,abs_diff_four_way,abs_diff_pairwise
1024,0.007812,0.000382,0.000216,0.000098,0.000253,1.766185,3.900286,1.511927,0.000000,0.000000,0.000000
4096,0.031250,0.002076,0.000967,0.000488,0.001456,2.146184,4.254002,1.425883,0.000000,0.000000,0.000000
16384,0.125000,0.006918,0.003733,0.001816,0.006819,1.852966,3.809391,1.014470,0.000000,0.000000,0.000000
65536,0.500000,0.035431,0.014457,0.007555,0.073293,2.450834,4.689571,0.483421,0.000000,0.000000,0.000000
262144,2.000000,0.131891,0.058718,0.031905,0.253743,2.246151,4.133814,0.519780,0.000000,0.000000,0.000000
1048576,8.000000,0.538937,0.245637,0.150671,1.232023,2.194039,3.576923,0.437441,0.000000,0.000000,0.000000
4194304,32.000000,2.197608,1.917544,1.182190,5.917137,1.146054,1.858930,0.371397,0.000000,0.000000,0.000000
16777216,128.000000,10.550587,10.732019,9.169541,30.347400,0.983094,1.150612,0.347660,0.000000,0.000005,0.000005
